,Time step,RMSE,Average variance,Number of cells sampled,"Robot (6, 13) distance travelled","Robot (6, 13) idle time","Robot (6, 13) waiting time","Robot (13, 2) distance travelled","Robot (13, 2) idle time","Robot (13, 2) waiting time","Robot (12, 5) distance travelled","Robot (12, 5) idle time","Robot (12, 5) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.012737035281040684,1.300482300090854e-07,3,0,1,0,0,1,0,0,1,0
2,3,0.012737035281040684,1.300482300090854e-07,3,1,1,0,1,1,0,1,1,0
3,4,0.012737035281040684,1.300482300090854e-07,3,2,1,0,2,1,0,2,1,0
4,5,0.012737035281040684,1.300482300090854e-07,3,3,1,0,3,1,0,3,1,0
5,6,0.012737035281040684,1.300482300090854e-07,3,4,1,0,4,1,0,4,1,0
6,7,0.012737035281040684,1.300482300090854e-07,3,5,1,0,5,1,0,5,1,0
7,8,0.012737035281040684,1.300482300090854e-07,3,6,1,0,6,1,0,6,1,0
8,9,0.012737035281040684,1.300482300090854e-07,3,7,1,0,7,1,0,7,1,0
9,10,0.012737035281040684,1.300482300090854e-07,3,8,1,0,8,1,0,8,1,0
10,11,0.012737035281040684,1.300482300090854e-07,3,9,1,0,9,1,0,9,1,0
11,12,0.012737035281040684,1.300482300090854e-07,3,10,1,0,10,1,0,10,1,0
12,13,0.012737035281040684,1.300482300090854e-07,3,11,1,0,11,1,0,11,1,0
13,14,0.012737035281040684,1.300482300090854e-07,3,12,1,0,12,1,0,12,1,0
14,15,0.012737035281040684,1.300482300090854e-07,3,13,1,0,13,1,0,13,1,0
15,16,0.01273969305897559,1.128355894953548e-07,5,13,2,0,14,1,0,13,2,0
16,17,0.01273969305897559,1.128355894953548e-07,5,14,2,0,15,1,0,14,2,0
17,18,0.01273969305897559,1.128355894953548e-07,5,15,2,0,16,1,0,15,2,0
18,19,0.012739696654142232,8.424193746752153e-08,6,16,2,0,16,2,0,16,2,0
19,20,0.012739696654142232,8.424193746752153e-08,6,17,2,0,17,2,0,17,2,0
20,21,0.012739696654142232,8.424193746752153e-08,6,18,2,0,18,2,0,18,2,0
21,22,0.012739696654142232,8.424193746752153e-08,6,19,2,0,19,2,0,19,2,0
22,23,0.012739696654142232,8.424193746752153e-08,6,20,2,0,20,2,0,20,2,0
23,24,0.012739696654142232,8.424193746752153e-08,6,21,2,0,21,2,0,21,2,0
24,25,0.012739696654142232,8.424193746752153e-08,6,22,2,0,22,2,0,22,2,0
25,26,0.012739696654142232,8.424193746752153e-08,6,23,2,0,23,2,0,23,2,0
26,27,0.012739696654142232,8.424193746752153e-08,6,24,2,0,24,2,0,24,2,0
27,28,0.012739696654142232,8.424193746752153e-08,6,25,2,0,25,2,0,25,2,0
28,29,0.012739696654142232,8.424193746752153e-08,6,26,2,0,26,2,0,26,2,0
29,30,0.012739696654142232,8.424193746752153e-08,6,27,2,0,27,2,0,27,2,0
30,31,0.012739696654142232,8.424193746752153e-08,6,28,2,0,28,2,0,28,2,0
31,32,0.012739696654142232,8.424193746752153e-08,6,29,2,0,29,2,0,29,2,0
32,33,0.012739696654142232,8.424193746752153e-08,6,30,2,0,30,2,0,30,2,0
33,34,0.012737805671954842,5.5465455049993615e-08,7,31,2,0,31,2,0,30,3,0
34,35,0.012737805671954842,5.5465455049993615e-08,7,32,2,0,32,2,0,31,3,0
35,36,0.012737805671954842,5.5465455049993615e-08,7,33,2,0,33,2,0,32,3,0
36,37,0.012737805671954842,5.5465455049993615e-08,7,34,2,0,34,2,0,33,3,0
37,38,0.012737685807136299,4.356472171222016e-08,8,34,3,0,35,2,0,34,3,0
38,39,0.012738194484475003,4.043004093789409e-08,9,35,3,0,35,3,0,35,3,0
39,40,0.012738194484475003,4.043004093789409e-08,9,36,3,0,36,3,0,36,3,0
40,41,0.012738194484475003,4.043004093789409e-08,9,37,3,0,37,3,0,37,3,0
41,42,0.012738194484475003,4.043004093789409e-08,9,38,3,0,38,3,0,38,3,0
42,43,0.012738194484475003,4.043004093789409e-08,9,39,3,0,39,3,0,39,3,0
43,44,0.012738194484475003,4.043004093789409e-08,9,40,3,0,40,3,0,40,3,0
44,45,0.012738194484475003,4.043004093789409e-08,9,41,3,0,41,3,0,41,3,0
45,46,0.012738194484475003,4.043004093789409e-08,9,42,3,0,42,3,0,42,3,0
46,47,0.012738194484475003,4.043004093789409e-08,9,43,3,0,43,3,0,43,3,0
47,48,0.012738194484475003,4.043004093789409e-08,9,44,3,0,44,3,0,44,3,0
48,49,0.012738194484475003,4.043004093789409e-08,9,45,3,0,45,3,0,45,3,0
49,50,0.012738194484475003,4.043004093789409e-08,9,46,3,0,46,3,0,46,3,0
50,51,0.012738194484475003,4.043004093789409e-08,9,47,3,0,47,3,0,47,3,0
51,52,0.012738194484475003,4.043004093789409e-08,9,48,3,0,48,3,0,48,3,0
52,53,0.012738887523804062,8.520736276755879e-08,10,49,3,0,49,3,0,48,4,0
53,54,0.012738887523804062,8.520736276755879e-08,10,50,3,0,50,3,0,49,4,0
54,55,0.012738887523804062,8.520736276755879e-08,10,51,3,0,51,3,0,50,4,0
55,56,0.012738887523804062,8.520736276755879e-08,10,52,3,0,52,3,0,51,4,0
56,57,0.012738887523804062,8.520736276755879e-08,10,53,3,0,53,3,0,52,4,0
57,58,0.01273936185342306,3.653489483715027e-08,11,53,4,0,54,3,0,53,4,0
58,59,0.01273936185342306,3.653489483715027e-08,11,54,4,0,55,3,0,54,4,0
59,60,0.01273936185342306,3.653489483715027e-08,11,55,4,0,56,3,0,55,4,0
60,61,0.01273936185342306,3.653489483715027e-08,11,56,4,0,57,3,0,56,4,0
61,62,0.012739378677358961,3.616983004784712e-08,12,57,4,0,57,4,0,57,4,0
62,63,0.012739378677358961,3.616983004784712e-08,12,58,4,0,58,4,0,58,4,0
63,64,0.012739378677358961,3.616983004784712e-08,12,59,4,0,59,4,0,59,4,0
64,65,0.012739378677358961,3.616983004784712e-08,12,60,4,0,60,4,0,60,4,0
65,66,0.012739378677358961,3.616983004784712e-08,12,61,4,0,61,4,0,61,4,0
66,67,0.012739378677358961,3.616983004784712e-08,12,62,4,0,62,4,0,62,4,0
