,Time step,RMSE,Average variance,Number of cells sampled,"Robot (17, 16) distance travelled","Robot (17, 16) idle time","Robot (17, 16) waiting time","Robot (5, 14) distance travelled","Robot (5, 14) idle time","Robot (5, 14) waiting time","Robot (14, 15) distance travelled","Robot (14, 15) idle time","Robot (14, 15) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.012747156695603805,3.7581463370362396e-11,3,0,1,0,0,1,0,0,1,0
2,3,0.012747156695603805,3.7581463370362396e-11,3,1,1,0,1,1,0,1,1,0
3,4,0.012747156695603805,3.7581463370362396e-11,3,2,1,0,2,1,0,2,1,0
4,5,0.012747156695603805,3.7581463370362396e-11,3,3,1,0,3,1,0,3,1,0
5,6,0.012747156695603805,3.7581463370362396e-11,3,4,1,0,4,1,0,4,1,0
6,7,0.012747182404783224,3.4711452751343e-11,4,5,1,0,5,1,0,4,2,0
7,8,0.012747182404783224,3.4711452751343e-11,4,6,1,0,6,1,0,5,2,0
8,9,0.012747182404783224,3.4711452751343e-11,4,7,1,0,7,1,0,6,2,0
9,10,0.012747182404783224,3.4711452751343e-11,4,8,1,0,8,1,0,7,2,0
10,11,0.012747182404783224,3.4711452751343e-11,4,9,1,0,9,1,0,8,2,0
11,12,0.012747182404783224,3.4711452751343e-11,4,10,1,0,10,1,0,9,2,0
12,13,0.012746907439481734,3.8133025578827455e-10,5,11,1,0,10,2,0,10,2,0
13,14,0.012746907439481734,3.8133025578827455e-10,5,12,1,0,11,2,0,11,2,0
14,15,0.012746907439481734,3.8133025578827455e-10,5,13,1,0,12,2,0,12,2,0
15,16,0.012746907439481734,3.8133025578827455e-10,5,14,1,0,13,2,0,13,2,0
16,17,0.012746907439481734,3.8133025578827455e-10,5,15,1,0,14,2,0,14,2,0
17,18,0.012746907439481734,3.8133025578827455e-10,5,16,1,0,15,2,0,15,2,0
18,19,0.012746907439481734,3.8133025578827455e-10,5,17,1,0,16,2,0,16,2,0
19,20,0.012746907439481734,3.8133025578827455e-10,5,18,1,0,17,2,0,17,2,0
20,21,0.012746907439481734,3.8133025578827455e-10,5,19,1,0,18,2,0,18,2,0
21,22,0.012746907439481734,3.8133025578827455e-10,5,20,1,0,19,2,0,19,2,0
22,23,0.012746959232039645,3.5555788000482906e-10,6,21,1,0,20,2,0,19,3,0
23,24,0.012746959232039645,3.5555788000482906e-10,6,22,1,0,21,2,0,20,3,0
24,25,0.012746959232039645,3.5555788000482906e-10,6,23,1,0,22,2,0,21,3,0
25,26,0.012746994386619309,3.524642891537505e-10,7,24,1,0,22,3,0,22,3,0
26,27,0.012746994386619309,3.524642891537505e-10,7,25,1,0,23,3,0,23,3,0
27,28,0.012746994386619309,3.524642891537505e-10,7,26,1,0,24,3,0,24,3,0
28,29,0.012746994386619309,3.524642891537505e-10,7,27,1,0,25,3,0,25,3,0
29,30,0.012746994386619309,3.524642891537505e-10,7,28,1,0,26,3,0,26,3,0
30,31,0.012746994386619309,3.524642891537505e-10,7,29,1,0,27,3,0,27,3,0
31,32,0.012746677665043261,7.831115667559784e-10,8,30,1,0,27,4,0,28,3,0
32,33,0.012746677665043261,7.831115667559784e-10,8,31,1,0,28,4,0,29,3,0
33,34,0.012746677665043261,7.831115667559784e-10,8,32,1,0,29,4,0,30,3,0
34,35,0.012746677665043261,7.831115667559784e-10,8,33,1,0,30,4,0,31,3,0
35,36,0.012682464435042971,8.27581932228041e-06,9,34,1,0,31,4,0,31,4,0
36,37,0.012682464435042971,8.27581932228041e-06,9,35,1,0,32,4,0,32,4,0
37,38,0.012676247225531005,7.53643735021579e-06,10,35,2,0,33,4,0,33,4,0
38,39,0.012676247225531005,7.53643735021579e-06,10,36,2,0,34,4,0,34,4,0
39,40,0.012676247225531005,7.53643735021579e-06,10,37,2,0,35,4,0,35,4,0
40,41,0.012676247225531005,7.53643735021579e-06,10,38,2,0,36,4,0,36,4,0
41,42,0.012676247225531005,7.53643735021579e-06,10,39,2,0,37,4,0,37,4,0
42,43,0.012676247225531005,7.53643735021579e-06,10,40,2,0,38,4,0,38,4,0
43,44,0.012676247225531005,7.53643735021579e-06,10,41,2,0,39,4,0,39,4,0
44,45,0.012676247225531005,7.53643735021579e-06,10,42,2,0,40,4,0,40,4,0
45,46,0.01265679676275032,6.562267952230895e-06,11,43,2,0,40,5,0,41,4,0
46,47,0.01265679676275032,6.562267952230895e-06,11,44,2,0,41,5,0,42,4,0
47,48,0.012656634377778302,4.85979295993611e-06,12,45,2,0,42,5,0,42,5,0
48,49,0.012656634377778302,4.85979295993611e-06,12,46,2,0,43,5,0,43,5,0
49,50,0.012656634377778302,4.85979295993611e-06,12,47,2,0,44,5,0,44,5,0
50,51,0.012656634377778302,4.85979295993611e-06,12,48,2,0,45,5,0,45,5,0
51,52,0.012656634377778302,4.85979295993611e-06,12,49,2,0,46,5,0,46,5,0
52,53,0.012656634377778302,4.85979295993611e-06,12,50,2,0,47,5,0,47,5,0
53,54,0.012656634377778302,4.85979295993611e-06,12,51,2,0,48,5,0,48,5,0
54,55,0.012656634377778302,4.85979295993611e-06,12,52,2,0,49,5,0,49,5,0
55,56,0.012656634377778302,4.85979295993611e-06,12,53,2,0,50,5,0,50,5,0
56,57,0.01265678290943193,3.7346649264155176e-06,13,54,2,0,51,5,0,50,6,0
57,58,0.012655701362465396,3.838095565627691e-06,14,54,3,0,52,5,0,51,6,0
58,59,0.012655701362465396,3.838095565627691e-06,14,55,3,0,53,5,0,52,6,0
59,60,0.012655701362465396,3.838095565627691e-06,14,56,3,0,54,5,0,53,6,0
60,61,0.012655701362465396,3.838095565627691e-06,14,57,3,0,55,5,0,54,6,0
61,62,0.012655701362465396,3.838095565627691e-06,14,58,3,0,56,5,0,55,6,0
62,63,0.012655701362465396,3.838095565627691e-06,14,59,3,0,57,5,0,56,6,0
63,64,0.012655701362465396,3.838095565627691e-06,14,60,3,0,58,5,0,57,6,0
64,65,0.012655701362465396,3.838095565627691e-06,14,61,3,0,59,5,0,58,6,0
65,66,0.012655701362465396,3.838095565627691e-06,14,62,3,0,60,5,0,59,6,0
66,67,0.012655701362465396,3.838095565627691e-06,14,63,3,0,61,5,0,60,6,0
67,68,0.012655701362465396,3.838095565627691e-06,14,64,3,0,62,5,0,61,6,0
68,69,0.012658281887665473,3.7095054264815753e-06,15,65,3,0,62,6,0,62,6,0
69,70,0.012658370256236333,3.0139219339631543e-06,16,66,3,0,63,6,0,62,7,0
70,71,0.012666462620094701,2.9775032938329814e-06,17,66,4,0,64,6,0,63,7,0
71,72,0.012666462620094701,2.9775032938329814e-06,17,67,4,0,65,6,0,64,7,0
72,73,0.012666462620094701,2.9775032938329814e-06,17,68,4,0,66,6,0,65,7,0
73,74,0.012670180472250554,2.8427210668990512e-06,18,69,4,0,66,7,0,66,7,0
74,75,0.012670180472250554,2.8427210668990512e-06,18,70,4,0,67,7,0,67,7,0
75,76,0.012670180472250554,2.8427210668990512e-06,18,71,4,0,68,7,0,68,7,0
76,77,0.012670180472250554,2.8427210668990512e-06,18,72,4,0,69,7,0,69,7,0
77,78,0.012670180472250554,2.8427210668990512e-06,18,73,4,0,70,7,0,70,7,0
78,79,0.012670180472250554,2.8427210668990512e-06,18,74,4,0,71,7,0,71,7,0
79,80,0.012670180472250554,2.8427210668990512e-06,18,75,4,0,72,7,0,72,7,0
80,81,0.012670180472250554,2.8427210668990512e-06,18,76,4,0,73,7,0,73,7,0
81,82,0.012670180472250554,2.8427210668990512e-06,18,77,4,0,74,7,0,74,7,0
82,83,0.012670180472250554,2.8427210668990512e-06,18,78,4,0,75,7,0,75,7,0
83,84,0.012670180472250554,2.8427210668990512e-06,18,79,4,0,76,7,0,76,7,0
84,85,0.012670180472250554,2.8427210668990512e-06,18,80,4,0,77,7,0,77,7,0
85,86,0.012670180472250554,2.8427210668990512e-06,18,81,4,0,78,7,0,78,7,0
86,87,0.012670085482236703,2.84136350720763e-06,19,82,4,0,78,8,0,78,8,0
87,88,0.012670085482236703,2.84136350720763e-06,19,83,4,0,79,8,0,79,8,0
88,89,0.012670085482236703,2.84136350720763e-06,19,84,4,0,80,8,0,80,8,0
89,90,0.012670085482236703,2.84136350720763e-06,19,85,4,0,81,8,0,81,8,0
90,91,0.012670085482236703,2.84136350720763e-06,19,86,4,0,82,8,0,82,8,0
91,92,0.012670085482236703,2.84136350720763e-06,19,87,4,0,83,8,0,83,8,0
92,93,0.012670085482236703,2.84136350720763e-06,19,88,4,0,84,8,0,84,8,0
93,94,0.012670085482236703,2.84136350720763e-06,19,89,4,0,84,9,0,85,8,0
94,95,0.012670085482236703,2.84136350720763e-06,19,90,4,0,85,9,0,86,8,0
95,96,0.012670085482236703,2.84136350720763e-06,19,91,4,0,86,9,0,87,8,0
96,97,0.012670085482236703,2.84136350720763e-06,19,92,4,0,87,9,0,88,8,0
97,98,0.012670085482236703,2.84136350720763e-06,19,93,4,0,88,9,0,89,8,0
98,99,0.012670919445053674,2.4813583372801833e-06,20,94,4,0,88,10,0,90,8,0
99,100,0.012670919445053674,2.4813583372801833e-06,20,95,4,0,89,10,0,91,8,0
100,101,0.012668876690205085,2.322661985860137e-06,21,96,4,0,90,10,0,91,9,0
