,Time step,RMSE,Average variance,Number of cells sampled,"Robot (3, 9) distance travelled","Robot (3, 9) idle time","Robot (3, 9) waiting time","Robot (9, 1) distance travelled","Robot (9, 1) idle time","Robot (9, 1) waiting time","Robot (1, 5) distance travelled","Robot (1, 5) idle time","Robot (1, 5) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.012747265056670476,1.482954791616949e-13,3,0,1,0,0,1,0,0,1,0
2,3,0.012747265056670476,1.482954791616949e-13,3,1,1,0,1,1,0,1,1,0
3,4,0.012747265056670476,1.482954791616949e-13,3,2,1,0,2,1,0,2,1,0
4,5,0.012747265056670476,1.482954791616949e-13,3,3,1,0,3,1,0,3,1,0
5,6,0.012747265056670476,1.482954791616949e-13,3,4,1,0,4,1,0,4,1,0
6,7,0.012747265056670476,1.482954791616949e-13,3,5,1,0,5,1,0,5,1,0
7,8,0.012747265056670476,1.482954791616949e-13,3,6,1,0,6,1,0,6,1,0
8,9,0.012747265056670476,1.482954791616949e-13,3,7,1,0,7,1,0,7,1,0
9,10,0.012747265056670476,1.482954791616949e-13,3,8,1,0,8,1,0,8,1,0
10,11,0.012747265056670476,1.482954791616949e-13,3,9,1,0,9,1,0,9,1,0
11,12,0.012747265056670476,1.482954791616949e-13,3,10,1,0,10,1,0,10,1,0
12,13,0.012747265956807885,1.2814026270438588e-13,4,11,1,0,10,2,0,11,1,0
13,14,0.012747265956807885,1.2814026270438588e-13,4,12,1,0,11,2,0,12,1,0
14,15,0.012747265956807885,1.2814026270438588e-13,4,13,1,0,12,2,0,13,1,0
15,16,0.012747265956807885,1.2814026270438588e-13,4,14,1,0,13,2,0,14,1,0
16,17,0.012747265956807885,1.2814026270438588e-13,4,15,1,0,14,2,0,15,1,0
17,18,0.012747265956807885,1.2814026270438588e-13,4,16,1,0,15,2,0,16,1,0
18,19,0.012747266460616826,1.179406250788403e-13,5,16,2,0,16,2,0,17,1,0
19,20,0.012747266460616826,1.179406250788403e-13,5,17,2,0,17,2,0,18,1,0
20,21,0.01274726651541727,5.779665257610535e-14,6,18,2,0,18,2,0,18,2,0
21,22,0.01274726651541727,5.779665257610535e-14,6,19,2,0,19,2,0,19,2,0
22,23,0.012747266831770503,5.475145056922313e-14,7,20,2,0,19,3,0,20,2,0
23,24,0.012747266831770503,5.475145056922313e-14,7,21,2,0,20,3,0,21,2,0
24,25,0.012747266831770503,5.475145056922313e-14,7,22,2,0,21,3,0,22,2,0
25,26,0.012747266831770503,5.475145056922313e-14,7,23,2,0,22,3,0,23,2,0
26,27,0.012747266831770503,5.475145056922313e-14,7,24,2,0,23,3,0,24,2,0
27,28,0.012747266831770503,5.475145056922313e-14,7,25,2,0,24,3,0,25,2,0
28,29,0.012747266831770503,5.475145056922313e-14,7,26,2,0,25,3,0,26,2,0
29,30,0.012747266831770503,5.475145056922313e-14,7,27,2,0,26,3,0,27,2,0
30,31,0.012747266894782323,3.579881309447627e-14,8,27,3,0,27,3,0,28,2,0
31,32,0.012747266894782323,3.579881309447627e-14,8,28,3,0,28,3,0,29,2,0
32,33,0.012747266894782323,3.579881309447627e-14,8,29,3,0,29,3,0,30,2,0
33,34,0.012747266894782323,3.579881309447627e-14,8,30,3,0,30,3,0,31,2,0
34,35,0.01274726694901568,4.547394223710432e-14,9,31,3,0,31,3,0,31,3,0
35,36,0.01274726694901568,4.547394223710432e-14,9,32,3,0,32,3,0,32,3,0
36,37,0.01274726694901568,4.547394223710432e-14,9,33,3,0,33,3,0,33,3,0
37,38,0.01274726694901568,4.547394223710432e-14,9,34,3,0,34,3,0,34,3,0
38,39,0.01274726694901568,4.547394223710432e-14,9,35,3,0,35,3,0,35,3,0
39,40,0.01274726694901568,4.547394223710432e-14,9,36,3,0,36,3,0,36,3,0
40,41,0.01274726694901568,4.547394223710432e-14,9,37,3,0,37,3,0,37,3,0
