,Time step,RMSE,Average variance,Number of cells sampled,Average time to complete a task,Maximum visits to a cell,Total distance travelled,Total idle time,Total waiting times,"Robot (5, 19) distance travelled","Robot (5, 19) idle time","Robot (5, 19) waiting time","Robot (16, 15) distance travelled","Robot (16, 15) idle time","Robot (16, 15) waiting time","Robot (4, 16) distance travelled","Robot (4, 16) idle time","Robot (4, 16) waiting time"
48,49,0.012725105979174473,6.517844770475163e-07,18,4.177777777777778,3.0,108,36,0,28,20,0,42,6,0,38,10,0
49,50,0.012725105979174473,6.517844770475163e-07,18,4.177777777777778,3.0,111,36,0,29,20,0,43,6,0,39,10,0
50,51,0.012687004955774366,2.1216123191036007e-06,19,4.292929292929293,3.0,113,37,0,30,20,0,44,6,0,39,11,0
51,52,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,114,39,0,30,21,0,44,7,0,40,11,0
52,53,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,117,39,0,31,21,0,45,7,0,41,11,0
53,54,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,120,39,0,32,21,0,46,7,0,42,11,0
54,55,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,123,39,0,33,21,0,47,7,0,43,11,0
55,56,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,126,39,0,34,21,0,48,7,0,44,11,0
56,57,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,129,39,0,35,21,0,49,7,0,45,11,0
57,58,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,132,39,0,36,21,0,50,7,0,46,11,0
58,59,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,135,39,0,37,21,0,51,7,0,47,11,0
59,60,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,138,39,0,38,21,0,52,7,0,48,11,0
60,61,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,141,39,0,39,21,0,53,7,0,49,11,0
61,62,0.01266836180103084,1.930122657641041e-06,21,6.126262626262626,3.0,144,39,0,40,21,0,54,7,0,50,11,0
62,63,0.012660814142133775,2.0335898355931145e-06,22,6.333333333333333,3.0,146,40,0,41,21,0,55,7,0,50,12,0
63,64,0.012660814142133775,2.0335898355931145e-06,22,6.333333333333333,3.0,149,40,0,42,21,0,56,7,0,51,12,0
64,65,0.012660814142133775,2.0335898355931145e-06,22,6.333333333333333,3.0,152,40,0,43,21,0,57,7,0,52,12,0
65,66,0.012640273595466555,1.5909333586072862e-06,23,6.277777777777778,3.0,154,41,0,44,21,0,58,7,0,52,13,0
66,67,0.012640273595466555,1.5909333586072862e-06,23,6.277777777777778,3.0,157,41,0,45,21,0,59,7,0,53,13,0
67,68,0.012640117090821593,1.4276088063532494e-06,24,6.642857142857143,3.0,159,42,0,46,21,0,59,8,0,54,13,0
68,69,0.012640117090821593,1.4276088063532494e-06,24,6.642857142857143,3.0,162,42,0,47,21,0,60,8,0,55,13,0
69,70,0.012641502767700487,1.4400320099135434e-06,25,6.6190476190476195,3.0,164,43,0,48,21,0,61,8,0,55,14,0
70,71,0.012641502767700487,1.4400320099135434e-06,25,6.6190476190476195,3.0,167,43,0,49,21,0,62,8,0,56,14,0
71,72,0.012641502767700487,1.4400320099135434e-06,25,6.6190476190476195,3.0,170,43,0,50,21,0,63,8,0,57,14,0
72,73,0.012643289724846693,1.2726273658548406e-06,26,6.434523809523809,3.0,172,44,0,51,21,0,63,9,0,58,14,0
73,74,0.012643289724846693,1.2726273658548406e-06,26,6.434523809523809,3.0,175,44,0,52,21,0,64,9,0,59,14,0
74,75,0.012643289724846693,1.2726273658548406e-06,26,6.434523809523809,3.0,178,44,0,53,21,0,65,9,0,60,14,0
75,76,0.012642536289350272,1.1231279805768654e-06,27,6.458333333333333,3.0,180,45,0,54,21,0,66,9,0,60,15,0
76,77,0.012643802661894146,1.0018282845225416e-06,28,7.558333333333334,3.0,182,46,0,54,22,0,67,9,0,61,15,0
77,78,0.012643802661894146,1.0018282845225416e-06,28,7.558333333333334,4.0,185,46,0,55,22,0,68,9,0,62,15,0
78,79,0.012643802661894146,1.0018282845225416e-06,28,7.451851851851852,4.0,187,47,0,56,22,0,68,10,0,63,15,0
79,80,0.01264424084902859,8.495765778478841e-07,29,7.431018518518518,4.0,189,48,0,57,22,0,69,10,0,63,16,0
80,81,0.01264424084902859,8.495765778478841e-07,29,7.431018518518518,4.0,192,48,0,58,22,0,70,10,0,64,16,0
81,82,0.012645133772908879,6.9600448825859e-07,30,7.0532407407407405,4.0,194,49,0,58,23,0,71,10,0,65,16,0
82,83,0.012645133772908879,6.9600448825859e-07,30,7.0532407407407405,4.0,197,49,0,59,23,0,72,10,0,66,16,0
