,Time step,RMSE,Average variance,Number of cells sampled,Average time to complete a task,Maximum visits to a cell,Total distance travelled,Total idle time,Total waiting times,"Robot (8, 10) distance travelled","Robot (8, 10) idle time","Robot (8, 10) waiting time","Robot (5, 3) distance travelled","Robot (5, 3) idle time","Robot (5, 3) waiting time","Robot (18, 10) distance travelled","Robot (18, 10) idle time","Robot (18, 10) waiting time"
51,52,0.01355775234942455,0.016683701057282382,16,6.2,7.0,137,16,0,46,5,0,46,5,0,45,6,0
52,53,0.013145891827136205,0.014240925768945152,17,6.288888888888889,8.0,139,17,0,47,5,0,46,6,0,46,6,0
53,54,0.013145891827136205,0.014240925768945152,17,6.288888888888889,8.0,142,17,0,48,5,0,47,6,0,47,6,0
54,55,0.01281350253787537,0.013554793885509155,18,6.555555555555556,9.0,144,18,0,48,6,0,48,6,0,48,6,0
55,56,0.01281350253787537,0.013554793885509155,18,6.555555555555556,9.0,147,18,0,49,6,0,49,6,0,49,6,0
56,57,0.01281350253787537,0.013554793885509155,18,6.555555555555556,10.0,150,18,0,50,6,0,50,6,0,50,6,0
57,58,0.012539081985180753,0.01310414502863829,19,6.3809523809523805,10.0,152,19,0,51,6,0,50,7,0,51,6,0
58,59,0.012539081985180753,0.01310414502863829,19,6.3809523809523805,11.0,155,19,0,52,6,0,51,7,0,52,6,0
59,60,0.012539081985180753,0.01310414502863829,19,6.3809523809523805,11.0,158,19,0,53,6,0,52,7,0,53,6,0
60,61,0.012539081985180753,0.01310414502863829,19,6.3809523809523805,12.0,161,19,0,54,6,0,53,7,0,54,6,0
61,62,0.012539081985180753,0.01310414502863829,19,6.3809523809523805,12.0,164,19,0,55,6,0,54,7,0,55,6,0
62,63,0.012539081985180753,0.01310414502863829,19,6.3809523809523805,13.0,167,19,0,56,6,0,55,7,0,56,6,0
63,64,0.012056879118872578,0.012410174206077752,20,6.3809523809523805,13.0,169,20,0,56,7,0,56,7,0,57,6,0
64,65,0.012056879118872578,0.012410174206077752,20,6.3809523809523805,14.0,172,20,0,57,7,0,57,7,0,58,6,0
65,66,0.01210998351086467,0.01197160674543392,21,6.375,14.0,174,21,0,58,7,0,57,8,0,59,6,0
66,67,0.01210998351086467,0.01197160674543392,21,6.375,15.0,177,21,0,59,7,0,58,8,0,60,6,0
67,68,0.01210998351086467,0.01197160674543392,21,6.375,15.0,180,21,0,60,7,0,59,8,0,61,6,0
68,69,0.01210998351086467,0.01197160674543392,21,6.375,16.0,183,21,0,61,7,0,60,8,0,62,6,0
69,70,0.011660875564128235,0.011478842202545287,22,6.25,16.0,185,22,0,61,8,0,61,8,0,63,6,0
70,71,0.011660875564128235,0.011478842202545287,22,6.25,17.0,188,22,0,62,8,0,62,8,0,64,6,0
71,72,0.011660875564128235,0.011478842202545287,22,6.25,17.0,191,22,0,63,8,0,63,8,0,65,6,0
72,73,0.011660875564128235,0.011478842202545287,22,6.25,18.0,194,22,0,64,8,0,64,8,0,66,6,0
73,74,0.011834899589748997,0.011033349426452885,23,6.24537037037037,18.0,196,23,0,65,8,0,64,9,0,67,6,0
74,75,0.011834899589748997,0.011033349426452885,23,6.24537037037037,19.0,199,23,0,66,8,0,65,9,0,68,6,0
75,76,0.011834899589748997,0.011033349426452885,23,6.24537037037037,19.0,202,23,0,67,8,0,66,9,0,69,6,0
76,77,0.011834899589748997,0.011033349426452885,23,6.24537037037037,20.0,205,23,0,68,8,0,67,9,0,70,6,0
77,78,0.011722816977616212,0.010484692333159034,24,6.108333333333333,20.0,207,24,0,69,8,0,67,10,0,71,6,0
78,79,0.012645232819691765,0.02238983321567062,25,6.122222222222223,21.0,209,25,0,69,9,0,68,10,0,72,6,0
79,80,0.01232247864571664,0.021196158797754574,26,5.949494949494949,21.0,211,26,0,70,9,0,68,11,0,73,6,0
80,81,0.01232247864571664,0.021196158797754574,26,5.949494949494949,22.0,214,26,0,71,9,0,69,11,0,74,6,0
81,82,0.01232247864571664,0.021196158797754574,26,5.949494949494949,22.0,217,26,0,72,9,0,70,11,0,75,6,0
82,83,0.01232247864571664,0.021196158797754574,26,5.949494949494949,23.0,220,26,0,73,9,0,71,11,0,76,6,0
83,84,0.01232247864571664,0.021196158797754574,26,5.949494949494949,23.0,223,26,0,74,9,0,72,11,0,77,6,0
84,85,0.01232247864571664,0.021196158797754574,26,5.949494949494949,23.0,226,26,0,75,9,0,73,11,0,78,6,0
85,86,0.01232247864571664,0.021196158797754574,26,5.949494949494949,23.0,229,26,0,76,9,0,74,11,0,79,6,0
86,87,0.01232247864571664,0.021196158797754574,26,5.949494949494949,23.0,232,26,0,77,9,0,75,11,0,80,6,0
87,88,0.01232247864571664,0.021196158797754574,26,5.949494949494949,23.0,235,26,0,78,9,0,76,11,0,81,6,0
88,89,0.012070269565303134,0.020425196209134897,27,5.993939393939393,23.0,237,27,0,78,10,0,77,11,0,82,6,0
89,90,0.01183440307787987,0.019913015703290432,28,6.072222222222223,23.0,239,28,0,79,10,0,77,12,0,83,6,0
90,91,0.01183440307787987,0.019913015703290432,28,6.072222222222223,23.0,242,28,0,80,10,0,78,12,0,84,6,0
91,92,0.01183440307787987,0.019913015703290432,28,6.072222222222223,23.0,245,28,0,81,10,0,79,12,0,85,6,0
92,93,0.01183440307787987,0.019913015703290432,28,6.072222222222223,23.0,248,28,0,82,10,0,80,12,0,86,6,0
93,94,0.01224020335430552,0.019432941330036684,29,8.834126984126984,23.0,250,29,0,83,10,0,81,12,0,86,7,0
94,95,0.01224020335430552,0.019432941330036684,29,8.834126984126984,23.0,253,29,0,84,10,0,82,12,0,87,7,0
95,96,0.011998586728117808,0.01903832085562443,30,8.77958152958153,23.0,255,30,0,84,11,0,83,12,0,88,7,0
96,97,0.011998586728117808,0.01903832085562443,30,8.77958152958153,23.0,258,30,0,85,11,0,84,12,0,89,7,0
97,98,0.011795604568125045,0.01833158439155345,31,8.794538794538795,23.0,260,31,0,86,11,0,84,13,0,90,7,0
98,99,0.011795604568125045,0.01833158439155345,31,8.794538794538795,23.0,263,31,0,87,11,0,85,13,0,91,7,0
99,100,0.011795604568125045,0.01833158439155345,31,8.794538794538795,23.0,266,31,0,88,11,0,86,13,0,92,7,0
100,101,0.011795604568125045,0.01833158439155345,31,8.794538794538795,23.0,269,31,0,89,11,0,87,13,0,93,7,0
101,102,0.011795604568125045,0.01833158439155345,31,8.794538794538795,23.0,272,31,0,90,11,0,88,13,0,94,7,0
102,103,0.01142948495781784,0.017492089270595586,33,8.57051282051282,23.0,273,33,0,90,12,0,89,13,0,94,8,0
103,104,0.01142948495781784,0.017492089270595586,33,8.57051282051282,23.0,276,33,0,91,12,0,90,13,0,95,8,0
104,105,0.01127412023561496,0.0169867851467349,34,8.55952380952381,23.0,278,34,0,92,12,0,90,14,0,96,8,0
105,106,0.011134254480093695,0.01664566853298639,35,8.418498168498168,23.0,280,35,0,92,13,0,91,14,0,97,8,0
106,107,0.011008059630805788,0.01620481717421113,36,8.094424094424093,23.0,282,36,0,93,13,0,92,14,0,97,9,0
107,108,0.010880062570343638,0.01581144105589493,37,7.94973544973545,23.0,284,37,0,93,14,0,93,14,0,98,9,0
108,109,0.010880062570343638,0.01581144105589493,37,7.94973544973545,23.0,287,37,0,94,14,0,94,14,0,99,9,0
109,110,0.01079060056110571,0.015506606889043827,38,7.531746031746032,23.0,288,39,0,94,15,0,95,14,0,99,10,0
110,111,0.01079060056110571,0.015506606889043827,38,7.531746031746032,23.0,291,39,0,95,15,0,96,14,0,100,10,0
111,112,0.01079060056110571,0.015506606889043827,38,7.531746031746032,23.0,294,39,0,96,15,0,97,14,0,101,10,0
112,113,0.01079060056110571,0.015506606889043827,38,7.531746031746032,23.0,297,39,0,97,15,0,98,14,0,102,10,0
113,114,0.010611517875098423,0.014939508391443135,40,7.498611111111111,23.0,298,41,0,97,16,0,98,15,0,103,10,0
114,115,0.010611517875098423,0.014939508391443135,40,7.498611111111111,23.0,301,41,0,98,16,0,99,15,0,104,10,0
115,116,0.010611517875098423,0.014939508391443135,40,7.498611111111111,23.0,304,41,0,99,16,0,100,15,0,105,10,0
116,117,0.010533870660372792,0.014569698684293773,41,7.380429292929293,23.0,306,42,0,100,16,0,101,15,0,105,11,0
117,118,0.010533870660372792,0.014569698684293773,41,7.380429292929293,24.0,309,42,0,101,16,0,102,15,0,106,11,0
118,119,0.010440768699550849,0.014190160977445401,42,7.327651515151516,24.0,311,43,0,102,16,0,102,16,0,107,11,0
119,120,0.010440768699550849,0.014190160977445401,42,7.327651515151516,24.0,314,43,0,103,16,0,103,16,0,108,11,0
120,121,0.010398413822432976,0.013841398749875137,43,7.145833333333333,24.0,316,44,0,104,16,0,104,16,0,108,12,0
121,122,0.010398413822432976,0.013841398749875137,43,7.145833333333333,24.0,319,44,0,105,16,0,105,16,0,109,12,0
122,123,0.010398413822432976,0.013841398749875137,43,7.145833333333333,24.0,322,44,0,106,16,0,106,16,0,110,12,0
123,124,0.010398413822432976,0.013841398749875137,43,7.145833333333333,24.0,325,44,0,107,16,0,107,16,0,111,12,0
124,125,0.010398413822432976,0.013841398749875137,43,7.145833333333333,24.0,328,44,0,108,16,0,108,16,0,112,12,0
125,126,0.010339302561977652,0.013429779134596549,44,7.138480392156862,24.0,330,45,0,109,16,0,108,17,0,113,12,0
126,127,0.010285193695569262,0.013116937558416522,45,7.254901960784314,24.0,332,46,0,109,17,0,109,17,0,114,12,0
127,128,0.010285193695569262,0.013116937558416522,45,7.254901960784314,24.0,335,46,0,110,17,0,110,17,0,115,12,0
128,129,0.010229375627555186,0.012823491122364005,46,7.154684095860566,24.0,337,47,0,110,18,0,111,17,0,116,12,0
129,130,0.010229375627555186,0.012823491122364005,46,7.129043070219541,24.0,339,48,0,111,18,0,112,17,0,116,13,0
130,131,0.01019012530120661,0.0125129513843858,47,7.085470085470085,24.0,341,49,0,112,18,0,112,18,0,117,13,0
131,132,0.01019012530120661,0.0125129513843858,47,7.085470085470085,24.0,344,49,0,113,18,0,113,18,0,118,13,0
132,133,0.010148363228077228,0.012224037819342986,48,6.993852151746888,24.0,346,50,0,114,18,0,113,19,0,119,13,0
133,134,0.010075216208049005,0.011640855752916481,50,6.81578947368421,24.0,347,52,0,114,19,0,114,19,0,119,14,0
134,135,0.010042704199685676,0.011414042412829761,51,6.733333333333333,24.0,349,53,0,115,19,0,114,20,0,120,14,0
135,136,0.010018460976575501,0.011227454171693992,52,6.566666666666666,24.0,351,54,0,116,19,0,115,20,0,120,15,0
136,137,0.010018460976575501,0.011227454171693992,52,6.566666666666666,24.0,354,54,0,117,19,0,116,20,0,121,15,0
137,138,0.00999080406569605,0.010960334916681793,53,6.420833333333333,24.0,356,55,0,118,19,0,117,20,0,121,16,0
138,139,0.00999080406569605,0.010960334916681793,53,6.420833333333333,24.0,359,55,0,119,19,0,118,20,0,122,16,0
139,140,0.009953048063965176,0.010457873387423149,55,6.37718253968254,24.0,360,57,0,119,20,0,118,21,0,123,16,0
140,141,0.009930745039092985,0.010167703415864576,56,6.268113912231559,24.0,362,58,0,120,20,0,119,21,0,123,17,0
141,142,0.009930745039092985,0.010167703415864576,56,6.268113912231559,24.0,365,58,0,121,20,0,120,21,0,124,17,0
142,143,0.009930745039092985,0.010167703415864576,56,6.268113912231559,24.0,368,58,0,122,20,0,121,21,0,125,17,0
143,144,0.009930745039092985,0.010167703415864576,56,6.268113912231559,24.0,371,58,0,123,20,0,122,21,0,126,17,0
144,145,0.009930745039092985,0.010167703415864576,56,6.268113912231559,24.0,374,58,0,124,20,0,123,21,0,127,17,0
145,146,0.009930745039092985,0.010167703415864576,56,6.268113912231559,24.0,377,58,0,125,20,0,124,21,0,128,17,0
146,147,0.009208615394478953,0.0148941049306743,57,6.226719576719577,24.0,379,59,0,126,20,0,125,21,0,128,18,0
147,148,0.009112039515541532,0.014649428686718929,59,6.264309764309765,24.0,380,61,0,126,21,0,125,22,0,129,18,0
148,149,0.009112039515541532,0.014649428686718929,59,6.264309764309765,24.0,383,61,0,127,21,0,126,22,0,130,18,0
149,150,0.009112039515541532,0.014649428686718929,59,6.264309764309765,24.0,386,61,0,128,21,0,127,22,0,131,18,0
150,151,0.009112039515541532,0.014649428686718929,59,6.264309764309765,24.0,389,61,0,129,21,0,128,22,0,132,18,0
151,152,0.009068242449624182,0.014463562674732998,60,6.218855218855218,24.0,391,62,0,129,22,0,129,22,0,133,18,0
152,153,0.009068242449624182,0.014463562674732998,60,6.1818181818181825,24.0,393,63,0,130,22,0,130,22,0,133,19,0
153,154,0.009068242449624182,0.014463562674732998,60,6.1818181818181825,24.0,396,63,0,131,22,0,131,22,0,134,19,0
154,155,0.009068242449624182,0.014463562674732998,60,6.1818181818181825,24.0,399,63,0,132,22,0,132,22,0,135,19,0
155,156,0.009068242449624182,0.014463562674732998,60,6.200922266139657,24.0,401,64,0,133,22,0,132,23,0,136,19,0
156,157,0.009068242449624182,0.014463562674732998,60,6.200922266139657,24.0,404,64,0,134,22,0,133,23,0,137,19,0
157,158,0.009068242449624182,0.014463562674732998,60,6.200922266139657,24.0,407,64,0,135,22,0,134,23,0,138,19,0
158,159,0.00890537823189213,0.016376763251578826,61,6.167588932806325,24.0,409,65,0,136,22,0,135,23,0,138,20,0
159,160,0.008842468534025441,0.016039015839156633,62,6.184057971014492,24.0,411,66,0,136,23,0,136,23,0,139,20,0
160,161,0.00894350976323214,0.016139391661384832,63,6.090407177363699,24.0,413,67,0,137,23,0,137,23,0,139,21,0
161,162,0.00887354206880208,0.015835648725835268,64,6.080141476880608,24.0,415,68,0,138,23,0,137,24,0,140,21,0
162,163,0.0088073617184839,0.01554431797071592,65,6.025793650793649,24.0,417,69,0,138,24,0,138,24,0,141,21,0
163,164,0.008751141071740026,0.01527019677985167,66,5.95580808080808,24.0,419,70,0,139,24,0,139,24,0,141,22,0
164,165,0.008751141071740026,0.01527019677985167,66,5.95580808080808,24.0,422,70,0,140,24,0,140,24,0,142,22,0
165,166,0.008691731695093902,0.014923921972217192,67,5.877415458937198,24.0,424,71,0,141,24,0,141,24,0,142,23,0
166,167,0.008628180133219886,0.014639546613465915,68,5.8407487922705315,24.0,426,72,0,141,25,0,142,24,0,143,23,0
167,168,0.008025831370978877,0.014431349515692072,69,5.831304347826087,24.0,428,73,0,142,25,0,142,25,0,144,23,0
168,169,0.00827266280985052,0.014525672579807374,70,5.771817168338907,24.0,430,74,0,142,26,0,143,25,0,145,23,0
169,170,0.00827266280985052,0.014525672579807374,70,5.771817168338907,24.0,433,74,0,143,26,0,144,25,0,146,23,0
170,171,0.00796948201293216,0.014277544819954704,71,5.686543209876543,24.0,434,76,0,143,27,0,145,25,0,146,24,0
171,172,0.008579412038008829,0.014046534617934989,72,5.652184235517569,24.0,436,77,0,144,27,0,145,26,0,147,24,0
172,173,0.007513647169976382,0.013899608823211583,73,5.601037851037851,24.0,438,78,0,144,28,0,146,26,0,148,24,0
173,174,0.007513647169976382,0.013899608823211583,73,5.601037851037851,25.0,441,78,0,145,28,0,147,26,0,149,24,0
174,175,0.007513647169976382,0.013899608823211583,73,5.553418803418803,25.0,443,79,0,145,29,0,148,26,0,150,24,0
175,176,0.008538640952579404,0.013493029928315255,75,5.493827160493827,25.0,444,81,0,146,29,0,148,27,0,150,25,0
176,177,0.00861277083334646,0.013385515922241327,76,5.449382716049382,25.0,446,82,0,146,30,0,149,27,0,151,25,0
177,178,0.00861277083334646,0.013385515922241327,76,5.449382716049382,25.0,449,82,0,147,30,0,150,27,0,152,25,0
178,179,0.008552924710101262,0.01316631834724268,77,5.356523603835432,25.0,450,84,0,147,31,0,151,27,0,152,26,0
179,180,0.008552924710101262,0.01316631834724268,77,5.356523603835432,25.0,453,84,0,148,31,0,152,27,0,153,26,0
180,181,0.008495749677715953,0.012962822539899914,78,5.296694544006372,25.0,455,85,0,149,31,0,153,27,0,153,27,0
181,182,0.008441460478843553,0.012733491948092465,79,5.290962621607783,25.0,457,86,0,150,31,0,153,28,0,154,27,0
182,183,0.008341335091068783,0.012388962013905354,81,5.217261904761905,25.0,458,88,0,150,32,0,154,28,0,154,28,0
183,184,0.008341335091068783,0.012388962013905354,81,5.217261904761905,25.0,461,88,0,151,32,0,155,28,0,155,28,0
184,185,0.008341335091068783,0.012388962013905354,81,5.217261904761905,25.0,464,88,0,152,32,0,156,28,0,156,28,0
185,186,0.008293422841193394,0.012227494695192518,82,5.177032019704434,25.0,466,89,0,153,32,0,157,28,0,156,29,0
186,187,0.008293422841193394,0.012227494695192518,82,5.177032019704434,25.0,469,89,0,154,32,0,158,28,0,157,29,0
187,188,0.008293422841193394,0.012227494695192518,82,5.177032019704434,25.0,472,89,0,155,32,0,159,28,0,158,29,0
188,189,0.008247550439092068,0.012101813206423508,83,5.180188585360999,25.0,474,90,0,155,33,0,160,28,0,159,29,0
189,190,0.008203613790336182,0.011977783526543148,84,5.171403692093347,25.0,475,92,0,156,33,0,160,29,0,159,30,0
190,191,0.008203613790336182,0.011977783526543148,84,5.171403692093347,25.0,478,92,0,157,33,0,161,29,0,160,30,0
191,192,0.008121162861010212,0.011667897998738354,86,5.098726253571506,25.0,479,94,0,157,34,0,162,29,0,160,31,0
192,193,0.008121162861010212,0.011667897998738354,86,5.098726253571506,25.0,482,94,0,158,34,0,163,29,0,161,31,0
193,194,0.008121162861010212,0.011667897998738354,86,5.0707569049125025,25.0,484,95,0,159,34,0,163,30,0,162,31,0
194,195,0.00808249453718269,0.01150358452948133,87,5.045826932923707,25.0,486,96,0,159,35,0,164,30,0,163,31,0
195,196,0.00808249453718269,0.01150358452948133,87,5.045826932923707,25.0,489,96,0,160,35,0,165,30,0,164,31,0
196,197,0.008045377665688138,0.011306522468240569,88,5.033730158730159,25.0,491,97,0,161,35,0,166,30,0,164,32,0
197,198,0.007982736671160623,0.011190389668151097,89,5.007565284178187,25.0,493,98,0,162,35,0,166,31,0,165,32,0
198,199,0.007882556326333688,0.011077097122647013,90,4.993279569892473,25.0,495,99,0,162,36,0,167,31,0,166,32,0
199,200,0.007882556326333688,0.011077097122647013,90,4.961713913326817,25.0,497,100,0,163,36,0,168,31,0,166,33,0
200,201,0.007882556326333688,0.011077097122647013,90,4.961713913326817,25.0,500,100,0,164,36,0,169,31,0,167,33,0
201,202,0.007798191848630106,0.010936532105409402,91,4.939191390804294,25.0,502,101,0,164,37,0,170,31,0,168,33,0
202,203,0.007798191848630106,0.010936532105409402,91,4.939191390804294,25.0,505,101,0,165,37,0,171,31,0,169,33,0
203,204,0.007758611703800782,0.010788493970959162,92,4.909082334379448,25.0,507,102,0,165,38,0,172,31,0,170,33,0
204,205,0.007758611703800782,0.010788493970959162,92,4.909082334379448,25.0,510,102,0,166,38,0,173,31,0,171,33,0
205,206,0.007006036488265212,0.010631537925512564,93,4.908785245847065,25.0,512,103,0,167,38,0,174,31,0,171,34,0
206,207,0.007111947943526418,0.010469140171884628,94,4.916321015585721,25.0,513,105,0,167,39,0,174,32,0,172,34,0
207,208,0.007111947943526418,0.010469140171884628,94,4.916321015585721,25.0,516,105,0,168,39,0,175,32,0,173,34,0
208,209,0.007111947943526418,0.010469140171884628,94,4.916321015585721,25.0,519,105,0,169,39,0,176,32,0,174,34,0
209,210,0.006713540487628552,0.010319173104931339,95,4.897303921568628,25.0,521,106,0,169,40,0,177,32,0,175,34,0
210,211,0.006713540487628552,0.010319173104931339,95,4.897303921568628,25.0,524,106,0,170,40,0,178,32,0,176,34,0
211,212,0.007796967726990276,0.010212725433924067,96,4.882783719548425,25.0,526,107,0,171,40,0,178,33,0,177,34,0
212,213,0.007746212820905865,0.009900264727480908,98,4.873937986133108,25.0,527,109,0,171,41,0,179,33,0,177,35,0
213,214,0.007746212820905865,0.009900264727480908,98,4.873937986133108,26.0,530,109,0,172,41,0,180,33,0,178,35,0
214,215,0.007746212820905865,0.009900264727480908,98,4.873937986133108,26.0,533,109,0,173,41,0,181,33,0,179,35,0
215,216,0.007746212820905865,0.009900264727480908,98,4.873937986133108,26.0,536,109,0,174,41,0,182,33,0,180,35,0
216,217,0.0077222540903718,0.009748645196353878,99,4.854890367085489,26.0,538,110,0,175,41,0,183,33,0,180,36,0
217,218,0.007699192084365478,0.009677715854822076,100,4.853535353535354,26.0,540,111,0,175,42,0,184,33,0,181,36,0
218,219,0.007699192084365478,0.009677715854822076,100,4.853535353535354,26.0,543,111,0,176,42,0,185,33,0,182,36,0
219,220,0.007655604600971802,0.009500165775915297,102,4.844733242134063,26.0,544,113,0,176,43,0,185,34,0,183,36,0
220,221,0.007635007181585806,0.00940035123060013,103,4.826715224116045,26.0,546,114,0,177,43,0,186,34,0,183,37,0
221,222,0.007635007181585806,0.00940035123060013,103,4.826715224116045,26.0,549,114,0,178,43,0,187,34,0,184,37,0
222,223,0.007635007181585806,0.00940035123060013,103,4.826715224116045,26.0,552,114,0,179,43,0,188,34,0,185,37,0
223,224,0.007635007181585806,0.00940035123060013,103,4.826715224116045,26.0,555,114,0,180,43,0,189,34,0,186,37,0
