,trial_num,Run,Average Variance,Average time to complete a task,Maximum visits to a cell,RMSE,Step number,Total cells sampled,Total distance travelled,Total idle time,Total waiting time,width,height,task_allocation,num_robots,results_dir
3,5,20,0.0007795614993031045,11.48916140220488,6.0,0.00821077212270567,50,50,591,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
2,1,20,0.00726856585400444,10.832559339525284,18.0,0.010679564047448653,50,50,578,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
1,2,20,0.005766433016161381,9.291666666666666,6.0,0.010995769637071424,50,50,491,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
22,23,20,0.012431798313695475,10.533991228070176,19.0,0.008065450322269654,50,50,603,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
23,24,20,0.012185689709405534,10.441622103386809,6.0,0.00994800002319695,50,50,584,55,0,20,20,random,3,./results/random_sampling_3robs_20x20/
24,25,20,0.0025053933019440807,8.90958605664488,8.0,0.011466611423021087,50,50,518,55,0,20,20,random,3,./results/random_sampling_3robs_20x20/
25,29,20,0.003920127070049834,10.802521008403362,6.0,0.011564542969917617,50,50,560,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
47,46,20,0.016679956601717304,8.897930283224403,5.0,0.009131916764742763,52,52,487,53,0,20,20,random,3,./results/random_sampling_3robs_20x20/
46,45,20,0.0020210282625678965,11.205102495543672,32.0,0.011771274778258994,50,50,608,55,0,20,20,random,3,./results/random_sampling_3robs_20x20/
45,48,20,0.0001849976586744381,9.732142857142856,8.0,0.012416314405865065,50,50,489,51,0,20,20,random,3,./results/random_sampling_3robs_20x20/
44,44,20,0.014805063980639103,10.607489878542511,27.0,0.009278530354587422,50,50,548,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
43,47,20,0.00520620596386862,9.04074074074074,6.0,0.003353840224989732,50,50,465,51,0,20,20,random,3,./results/random_sampling_3robs_20x20/
42,43,20,0.006780928235658273,9.002579979360165,8.0,0.010869527420484597,50,50,498,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
41,41,20,0.00413117198592269,11.657608695652174,25.0,0.0021859245751951117,50,50,680,55,0,20,20,random,3,./results/random_sampling_3robs_20x20/
40,42,20,0.02137635700809402,8.884990253411306,6.0,0.008872898715287444,50,50,476,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
39,40,20,0.003475375624001062,10.336048454469507,6.0,0.011186115605521003,50,50,583,56,0,20,20,random,3,./results/random_sampling_3robs_20x20/
