,0
Unnamed: 0,49.5
trial_num,50.5
Run,20.0
Average Variance,0.007204112247099781
Average time to complete a task,10.190516796291027
Maximum visits to a cell,14.3
RMSE,0.009678179234477712
Step number,50.25
Total cells sampled,50.25
Total distance travelled,546.56
Total idle time,53.12
Total waiting time,0.0
width,20.0
height,20.0
num_robots,3.0
