,Time step,RMSE,Average variance,Number of cells sampled,"Robot (12, 2) distance travelled","Robot (12, 2) idle time","Robot (12, 2) waiting time","Robot (15, 10) distance travelled","Robot (15, 10) idle time","Robot (15, 10) waiting time","Robot (8, 1) distance travelled","Robot (8, 1) idle time","Robot (8, 1) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.012739500937466716,1.3022822839833503e-07,3,0,1,0,0,1,0,0,1,0
2,3,0.012739500937466716,1.3022822839833503e-07,3,1,1,0,1,1,0,1,1,0
3,4,0.012739500937466716,1.3022822839833503e-07,3,2,1,0,2,1,0,2,1,0
4,5,0.012739500937466716,1.3022822839833503e-07,3,3,1,0,3,1,0,3,1,0
5,6,0.012739500937466716,1.3022822839833503e-07,3,4,1,0,4,1,0,4,1,0
6,7,0.012739500937466716,1.3022822839833503e-07,3,5,1,0,5,1,0,5,1,0
7,8,0.012739500937466716,1.3022822839833503e-07,3,6,1,0,6,1,0,6,1,0
8,9,0.012739500937466716,1.3022822839833503e-07,3,7,1,0,7,1,0,7,1,0
9,10,0.012739500937466716,1.3022822839833503e-07,3,8,1,0,8,1,0,8,1,0
10,11,0.012739500937466716,1.3022822839833503e-07,3,9,1,0,9,1,0,9,1,0
11,12,0.012739500937466716,1.3022822839833503e-07,3,10,1,0,10,1,0,10,1,0
12,13,0.012739500937466716,1.3022822839833503e-07,3,11,1,0,11,1,0,11,1,0
13,14,0.012739500937466716,1.3022822839833503e-07,3,12,1,0,12,1,0,12,1,0
14,15,0.012739500937466716,1.3022822839833503e-07,3,13,1,0,13,1,0,13,1,0
15,16,0.012739500937466716,1.3022822839833503e-07,3,14,1,0,14,1,0,14,1,0
16,17,0.012741671425920946,1.0617282584058245e-07,5,15,1,0,14,2,0,14,2,0
17,18,0.012741671425920946,1.0617282584058245e-07,5,16,1,0,15,2,0,15,2,0
18,19,0.012741671425920946,1.0617282584058245e-07,5,17,1,0,16,2,0,16,2,0
19,20,0.012741745458547232,9.776992582119648e-08,6,17,2,0,17,2,0,17,2,0
20,21,0.012741745458547232,9.776992582119648e-08,6,18,2,0,18,2,0,18,2,0
21,22,0.012741745458547232,9.776992582119648e-08,6,19,2,0,19,2,0,19,2,0
22,23,0.012741745458547232,9.776992582119648e-08,6,20,2,0,20,2,0,20,2,0
23,24,0.012741745458547232,9.776992582119648e-08,6,21,2,0,21,2,0,21,2,0
24,25,0.012741745458547232,9.776992582119648e-08,6,22,2,0,22,2,0,22,2,0
25,26,0.012741745458547232,9.776992582119648e-08,6,23,2,0,23,2,0,23,2,0
26,27,0.012741547953762406,5.903030496709062e-08,7,24,2,0,24,2,0,23,3,0
27,28,0.012741547953762406,5.903030496709062e-08,7,25,2,0,25,2,0,24,3,0
28,29,0.012741547953762406,5.903030496709062e-08,7,26,2,0,26,2,0,25,3,0
29,30,0.012741547953762406,5.903030496709062e-08,7,27,2,0,27,2,0,26,3,0
30,31,0.012741547953762406,5.903030496709062e-08,7,28,2,0,28,2,0,27,3,0
31,32,0.012741547953762406,5.903030496709062e-08,7,29,2,0,29,2,0,28,3,0
32,33,0.012741547953762406,5.903030496709062e-08,7,30,2,0,30,2,0,29,3,0
33,34,0.012741547953762406,5.903030496709062e-08,7,31,2,0,31,2,0,30,3,0
34,35,0.012741547953762406,5.903030496709062e-08,7,32,2,0,32,2,0,31,3,0
35,36,0.012741547953762406,5.903030496709062e-08,7,33,2,0,33,2,0,32,3,0
36,37,0.012741689172755182,5.508301341076519e-08,8,34,2,0,33,3,0,33,3,0
37,38,0.012741689172755182,5.508301341076519e-08,8,35,2,0,34,3,0,34,3,0
38,39,0.012741689172755182,5.508301341076519e-08,8,36,2,0,35,3,0,35,3,0
39,40,0.012741689172755182,5.508301341076519e-08,8,37,2,0,36,3,0,36,3,0
40,41,0.012741689172755182,5.508301341076519e-08,8,38,2,0,37,3,0,37,3,0
41,42,0.012741689172755182,5.508301341076519e-08,8,39,2,0,38,3,0,38,3,0
42,43,0.012741689172755182,5.508301341076519e-08,8,40,2,0,39,3,0,39,3,0
43,44,0.012741689172755182,5.508301341076519e-08,8,41,2,0,40,3,0,40,3,0
44,45,0.012741689172755182,5.508301341076519e-08,8,42,2,0,41,3,0,41,3,0
45,46,0.012741689172755182,5.508301341076519e-08,8,43,2,0,42,3,0,42,3,0
46,47,0.012742036636527464,4.705819000686349e-08,9,44,2,0,43,3,0,42,4,0
47,48,0.012741940935454886,4.1315868385960126e-08,10,44,3,0,44,3,0,43,4,0
48,49,0.012741940935454886,4.1315868385960126e-08,10,45,3,0,45,3,0,44,4,0
49,50,0.012741940935454886,4.1315868385960126e-08,10,46,3,0,46,3,0,45,4,0
50,51,0.012741940935454886,4.1315868385960126e-08,10,47,3,0,47,3,0,46,4,0
51,52,0.012741940935454886,4.1315868385960126e-08,10,48,3,0,48,3,0,47,4,0
52,53,0.012741940935454886,4.1315868385960126e-08,10,49,3,0,49,3,0,48,4,0
53,54,0.012741940935454886,4.1315868385960126e-08,10,50,3,0,50,3,0,49,4,0
54,55,0.012741940935454886,4.1315868385960126e-08,10,51,3,0,51,3,0,50,4,0
55,56,0.012741911607003562,3.251423957462769e-08,11,52,3,0,51,4,0,51,4,0
56,57,0.012741911607003562,3.251423957462769e-08,11,53,3,0,52,4,0,52,4,0
57,58,0.012741911607003562,3.251423957462769e-08,11,54,3,0,53,4,0,53,4,0
58,59,0.012741911607003562,3.251423957462769e-08,11,55,3,0,54,4,0,54,4,0
59,60,0.012741911607003562,3.251423957462769e-08,11,56,3,0,55,4,0,55,4,0
60,61,0.012741911607003562,3.251423957462769e-08,11,57,3,0,56,4,0,56,4,0
61,62,0.012741911607003562,3.251423957462769e-08,11,58,3,0,57,4,0,57,4,0
62,63,0.012742229729098975,3.143880028691856e-08,12,58,4,0,58,4,0,58,4,0
63,64,0.012742229729098975,3.143880028691856e-08,12,59,4,0,59,4,0,59,4,0
64,65,0.012742229729098975,3.143880028691856e-08,12,60,4,0,60,4,0,60,4,0
65,66,0.012742229729098975,3.143880028691856e-08,12,61,4,0,61,4,0,61,4,0
66,67,0.012742302442745107,3.203867158474025e-08,13,62,4,0,62,4,0,61,5,0
