,Time step,RMSE,Average variance,Number of cells sampled,"Robot (10, 2) distance travelled","Robot (10, 2) idle time","Robot (10, 2) waiting time","Robot (3, 12) distance travelled","Robot (3, 12) idle time","Robot (3, 12) waiting time","Robot (17, 18) distance travelled","Robot (17, 18) idle time","Robot (17, 18) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.012747267100537155,2.198408783073082e-14,3,0,1,0,0,1,0,0,1,0
2,3,0.012747267100537155,2.198408783073082e-14,3,1,1,0,1,1,0,1,1,0
3,4,0.012747267100537155,2.198408783073082e-14,3,2,1,0,2,1,0,2,1,0
4,5,0.012747267100537155,2.198408783073082e-14,3,3,1,0,3,1,0,3,1,0
5,6,0.012747267100537155,2.198408783073082e-14,3,4,1,0,4,1,0,4,1,0
6,7,0.012747267100537155,2.198408783073082e-14,3,5,1,0,5,1,0,5,1,0
7,8,0.012289684244637618,0.0006544699755736275,4,5,2,0,6,1,0,6,1,0
8,9,0.019479820610631863,0.0607741438399323,5,6,2,0,6,2,0,7,1,0
9,10,0.019479820610631863,0.0607741438399323,5,7,2,0,7,2,0,8,1,0
10,11,0.019479820610631863,0.0607741438399323,5,8,2,0,8,2,0,9,1,0
11,12,0.019479820610631863,0.0607741438399323,5,9,2,0,9,2,0,10,1,0
12,13,0.019479820610631863,0.0607741438399323,5,10,2,0,10,2,0,11,1,0
13,14,0.01662311932588871,0.04289628947255372,6,11,2,0,11,2,0,11,2,0
14,15,0.01662311932588871,0.04289628947255372,6,12,2,0,12,2,0,12,2,0
15,16,0.01662311932588871,0.04289628947255372,6,13,2,0,13,2,0,13,2,0
16,17,0.01487532117436714,0.028916385790029663,7,13,3,0,14,2,0,14,2,0
17,18,0.01487532117436714,0.028916385790029663,7,14,3,0,15,2,0,15,2,0
18,19,0.01487532117436714,0.028916385790029663,7,15,3,0,16,2,0,16,2,0
19,20,0.01487532117436714,0.028916385790029663,7,16,3,0,17,2,0,17,2,0
20,21,0.01487532117436714,0.028916385790029663,7,17,3,0,18,2,0,18,2,0
21,22,0.013737137146510044,0.03221306430195627,8,18,3,0,18,3,0,19,2,0
22,23,0.013737137146510044,0.03221306430195627,8,19,3,0,19,3,0,20,2,0
23,24,0.013737137146510044,0.03221306430195627,8,20,3,0,20,3,0,21,2,0
24,25,0.013026069192531055,0.0299334046500496,9,21,3,0,21,3,0,21,3,0
25,26,0.012547971667774103,0.028659979904389912,10,22,3,0,21,4,0,22,3,0
