,Time step,RMSE,Average variance,Number of cells sampled,"Robot (13, 15) distance travelled","Robot (13, 15) idle time","Robot (13, 15) waiting time","Robot (14, 13) distance travelled","Robot (14, 13) idle time","Robot (14, 13) waiting time","Robot (16, 14) distance travelled","Robot (16, 14) idle time","Robot (16, 14) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.012739127844959721,1.2699793134060476e-07,3,0,1,0,0,1,0,0,1,0
2,3,0.012739127844959721,1.2699793134060476e-07,3,1,1,0,1,1,0,1,1,0
3,4,0.012739127844959721,1.2699793134060476e-07,3,2,1,0,2,1,0,2,1,0
4,5,0.012739127844959721,1.2699793134060476e-07,3,3,1,0,3,1,0,3,1,0
5,6,0.012739127844959721,1.2699793134060476e-07,3,4,1,0,4,1,0,4,1,0
6,7,0.012739127844959721,1.2699793134060476e-07,3,5,1,0,5,1,0,5,1,0
7,8,0.012739127844959721,1.2699793134060476e-07,3,6,1,0,6,1,0,6,1,0
8,9,0.0127412189650082,7.864728803204982e-08,4,6,2,0,7,1,0,7,1,0
9,10,0.012743417976042832,7.347890413496032e-08,5,7,2,0,7,2,0,8,1,0
10,11,0.012743417976042832,7.347890413496032e-08,5,8,2,0,8,2,0,9,1,0
11,12,0.012743417976042832,7.347890413496032e-08,5,9,2,0,9,2,0,10,1,0
12,13,0.012743417976042832,7.347890413496032e-08,5,10,2,0,10,2,0,11,1,0
13,14,0.012743417976042832,7.347890413496032e-08,5,11,2,0,11,2,0,12,1,0
14,15,0.012743417976042832,7.347890413496032e-08,5,12,2,0,12,2,0,13,1,0
15,16,0.012743417976042832,7.347890413496032e-08,5,13,2,0,13,2,0,14,1,0
16,17,0.012743417976042832,7.347890413496032e-08,5,14,2,0,14,2,0,15,1,0
17,18,0.012743417976042832,7.347890413496032e-08,5,15,2,0,15,2,0,16,1,0
18,19,0.012743417976042832,7.347890413496032e-08,5,16,2,0,16,2,0,17,1,0
19,20,0.012743417976042832,7.347890413496032e-08,5,17,2,0,17,2,0,18,1,0
20,21,0.012743417976042832,7.347890413496032e-08,5,18,2,0,18,2,0,19,1,0
21,22,0.012743417976042832,7.347890413496032e-08,5,19,2,0,19,2,0,20,1,0
22,23,0.012743417976042832,7.347890413496032e-08,5,20,2,0,20,2,0,21,1,0
23,24,0.012743136442930734,6.526310098994673e-08,6,21,2,0,21,2,0,21,2,0
24,25,0.012743136442930734,6.526310098994673e-08,6,22,2,0,22,2,0,22,2,0
25,26,0.012743136442930734,6.526310098994673e-08,6,23,2,0,23,2,0,23,2,0
26,27,0.012743473257242312,6.167312618496802e-08,7,24,2,0,23,3,0,24,2,0
27,28,0.012743473257242312,6.167312618496802e-08,7,25,2,0,24,3,0,25,2,0
28,29,0.012743473257242312,6.167312618496802e-08,7,26,2,0,25,3,0,26,2,0
29,30,0.012743473257242312,6.167312618496802e-08,7,27,2,0,26,3,0,27,2,0
30,31,0.012743473257242312,6.167312618496802e-08,7,28,2,0,27,3,0,28,2,0
31,32,0.012743473257242312,6.167312618496802e-08,7,29,2,0,28,3,0,29,2,0
32,33,0.012743473257242312,6.167312618496802e-08,7,30,2,0,29,3,0,30,2,0
33,34,0.012743473257242312,6.167312618496802e-08,7,31,2,0,30,3,0,31,2,0
34,35,0.012743473257242312,6.167312618496802e-08,7,32,2,0,31,3,0,32,2,0
35,36,0.012743473257242312,6.167312618496802e-08,7,33,2,0,32,3,0,33,2,0
36,37,0.012743473257242312,6.167312618496802e-08,7,34,2,0,33,3,0,34,2,0
