,Time step,RMSE,Average variance,Number of cells sampled,"Robot (19, 11) distance travelled","Robot (19, 11) idle time","Robot (19, 11) waiting time","Robot (7, 10) distance travelled","Robot (7, 10) idle time","Robot (7, 10) waiting time","Robot (1, 15) distance travelled","Robot (1, 15) idle time","Robot (1, 15) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.012112513983580722,0.0017233465335859347,3,0,1,0,0,1,0,0,1,0
2,3,0.012112513983580722,0.0017233465335859347,3,1,1,0,1,1,0,1,1,0
3,4,0.012112513983580722,0.0017233465335859347,3,2,1,0,2,1,0,2,1,0
4,5,0.012112513983580722,0.0017233465335859347,3,3,1,0,3,1,0,3,1,0
5,6,0.012112513983580722,0.0017233465335859347,3,4,1,0,4,1,0,4,1,0
6,7,0.011062458484976157,0.001102334572140652,4,5,1,0,5,1,0,4,2,0
7,8,0.011062458484976157,0.001102334572140652,4,6,1,0,6,1,0,5,2,0
8,9,0.011062458484976157,0.001102334572140652,4,7,1,0,7,1,0,6,2,0
9,10,0.011104604707958259,0.0011551668356254625,5,8,1,0,7,2,0,7,2,0
10,11,0.011018114187025068,0.0010007995546032317,6,9,1,0,8,2,0,7,3,0
11,12,0.011018114187025068,0.0010007995546032317,6,10,1,0,9,2,0,8,3,0
12,13,0.011353297654421834,0.0006288071344529002,7,10,2,0,10,2,0,9,3,0
13,14,0.011353297654421834,0.0006288071344529002,7,11,2,0,11,2,0,10,3,0
14,15,0.011353297654421834,0.0006288071344529002,7,12,2,0,12,2,0,11,3,0
15,16,0.011353297654421834,0.0006288071344529002,7,13,2,0,13,2,0,12,3,0
16,17,0.011353297654421834,0.0006288071344529002,7,14,2,0,14,2,0,13,3,0
17,18,0.011353297654421834,0.0006288071344529002,7,15,2,0,15,2,0,14,3,0
18,19,0.011353297654421834,0.0006288071344529002,7,16,2,0,16,2,0,15,3,0
19,20,0.011353297654421834,0.0006288071344529002,7,17,2,0,17,2,0,16,3,0
20,21,0.011677021656017224,0.000428031054143754,8,18,2,0,17,3,0,17,3,0
21,22,0.011677021656017224,0.000428031054143754,8,19,2,0,18,3,0,18,3,0
22,23,0.011677021656017224,0.000428031054143754,8,20,2,0,19,3,0,19,3,0
23,24,0.011677021656017224,0.000428031054143754,8,21,2,0,20,3,0,20,3,0
24,25,0.011677021656017224,0.000428031054143754,8,22,2,0,21,3,0,21,3,0
25,26,0.011677021656017224,0.000428031054143754,8,23,2,0,22,3,0,22,3,0
26,27,0.011514924858854348,0.0003559626991770806,9,23,3,0,23,3,0,23,3,0
27,28,0.011514924858854348,0.0003559626991770806,9,24,3,0,24,3,0,24,3,0
28,29,0.011514924858854348,0.0003559626991770806,9,25,3,0,25,3,0,25,3,0
29,30,0.011514924858854348,0.0003559626991770806,9,26,3,0,26,3,0,26,3,0
30,31,0.011514924858854348,0.0003559626991770806,9,27,3,0,27,3,0,27,3,0
31,32,0.011514924858854348,0.0003559626991770806,9,28,3,0,27,4,0,28,3,0
32,33,0.011514924858854348,0.0003559626991770806,9,29,3,0,28,4,0,29,3,0
33,34,0.011514924858854348,0.0003559626991770806,9,30,3,0,29,4,0,30,3,0
34,35,0.011514924858854348,0.0003559626991770806,9,31,3,0,30,4,0,31,3,0
35,36,0.011514924858854348,0.0003559626991770806,9,32,3,0,31,4,0,32,3,0
36,37,0.011514924858854348,0.0003559626991770806,9,33,3,0,32,4,0,33,3,0
37,38,0.011514924858854348,0.0003559626991770806,9,34,3,0,33,4,0,34,3,0
38,39,0.011899515196838083,0.0003125013181948202,10,35,3,0,34,4,0,34,4,0
39,40,0.011899515196838083,0.0003125013181948202,10,36,3,0,35,4,0,35,4,0
40,41,0.011899515196838083,0.0003125013181948202,10,37,3,0,36,4,0,36,4,0
