,Time step,RMSE,Average variance,Number of cells sampled,"Robot (2, 6) distance travelled","Robot (2, 6) idle time","Robot (2, 6) waiting time","Robot (17, 11) distance travelled","Robot (17, 11) idle time","Robot (17, 11) waiting time","Robot (1, 10) distance travelled","Robot (1, 10) idle time","Robot (1, 10) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.01274726496871513,1.426597532263316e-13,3,0,1,0,0,1,0,0,1,0
2,3,0.01274726496871513,1.426597532263316e-13,3,1,1,0,1,1,0,1,1,0
3,4,0.01274726496871513,1.426597532263316e-13,3,2,1,0,2,1,0,2,1,0
4,5,0.01274726496871513,1.426597532263316e-13,3,3,1,0,3,1,0,3,1,0
5,6,0.01274726496871513,1.426597532263316e-13,3,4,1,0,4,1,0,4,1,0
6,7,0.01274726496871513,1.426597532263316e-13,3,5,1,0,5,1,0,5,1,0
7,8,0.01274726496871513,1.426597532263316e-13,3,6,1,0,6,1,0,6,1,0
8,9,0.01274726496871513,1.426597532263316e-13,3,7,1,0,7,1,0,7,1,0
9,10,0.01274726496871513,1.426597532263316e-13,3,8,1,0,8,1,0,8,1,0
10,11,0.01274726496871513,1.426597532263316e-13,3,9,1,0,9,1,0,9,1,0
11,12,0.01274726496871513,1.426597532263316e-13,3,10,1,0,10,1,0,10,1,0
12,13,0.01274726496871513,1.426597532263316e-13,3,11,1,0,11,1,0,11,1,0
13,14,0.01274726597295136,6.528992537158864e-14,5,11,2,0,11,2,0,12,1,0
14,15,0.01274726597295136,6.528992537158864e-14,5,12,2,0,12,2,0,13,1,0
15,16,0.01274726597295136,6.528992537158864e-14,5,13,2,0,13,2,0,14,1,0
16,17,0.01274726597295136,6.528992537158864e-14,5,14,2,0,14,2,0,15,1,0
17,18,0.01274726597295136,6.528992537158864e-14,5,15,2,0,15,2,0,16,1,0
18,19,0.012747266134900369,6.407859163386756e-14,6,16,2,0,16,2,0,16,2,0
19,20,0.012747266134900369,6.407859163386756e-14,6,17,2,0,17,2,0,17,2,0
20,21,0.012747266134900369,6.407859163386756e-14,6,18,2,0,18,2,0,18,2,0
21,22,0.012747266134900369,6.407859163386756e-14,6,19,2,0,19,2,0,19,2,0
22,23,0.012747266134900369,6.407859163386756e-14,6,20,2,0,20,2,0,20,2,0
23,24,0.012747266134900369,6.407859163386756e-14,6,21,2,0,21,2,0,21,2,0
24,25,0.012747266134900369,6.407859163386756e-14,6,22,2,0,22,2,0,22,2,0
25,26,0.012747266134900369,6.407859163386756e-14,6,23,2,0,23,2,0,23,2,0
26,27,0.012747266134900369,6.407859163386756e-14,6,24,2,0,24,2,0,24,2,0
27,28,0.012747266134900369,6.407859163386756e-14,6,25,2,0,25,2,0,25,2,0
28,29,0.012747266134900369,6.407859163386756e-14,6,26,2,0,26,2,0,26,2,0
29,30,0.012747266134900369,6.407859163386756e-14,6,27,2,0,27,2,0,27,2,0
30,31,0.012747266134900369,6.407859163386756e-14,6,28,2,0,28,2,0,28,2,0
31,32,0.012747266134900369,6.407859163386756e-14,6,29,2,0,29,2,0,29,2,0
32,33,0.012747266134900369,6.407859163386756e-14,6,30,2,0,30,2,0,30,2,0
33,34,0.012747266432397968,5.84420865018579e-14,7,30,3,0,31,2,0,31,2,0
34,35,0.012747266480713901,5.792968960184493e-14,8,31,3,0,31,3,0,32,2,0
35,36,0.012747266480713901,5.792968960184493e-14,8,32,3,0,32,3,0,33,2,0
36,37,0.012747266480713901,5.792968960184493e-14,8,33,3,0,33,3,0,34,2,0
37,38,0.012747266480713901,5.792968960184493e-14,8,34,3,0,34,3,0,35,2,0
38,39,0.012747266543734941,5.717566108755707e-14,9,35,3,0,35,3,0,35,3,0
39,40,0.012747266543734941,5.717566108755707e-14,9,36,3,0,36,3,0,36,3,0
40,41,0.012747266543734941,5.717566108755707e-14,9,37,3,0,37,3,0,37,3,0
41,42,0.012747266543734941,5.717566108755707e-14,9,38,3,0,38,3,0,38,3,0
42,43,0.012747266543734941,5.717566108755707e-14,9,39,3,0,39,3,0,39,3,0
43,44,0.012747266543734941,5.717566108755707e-14,9,40,3,0,40,3,0,40,3,0
44,45,0.012747266751379424,4.8789482081123046e-14,10,41,3,0,40,4,0,41,3,0
45,46,0.012747266751379424,4.8789482081123046e-14,10,42,3,0,41,4,0,42,3,0
46,47,0.012747266751379424,4.8789482081123046e-14,10,43,3,0,42,4,0,43,3,0
47,48,0.012747266999536154,3.736435768433628e-14,11,43,4,0,43,4,0,44,3,0
48,49,0.012747266999536154,3.736435768433628e-14,11,44,4,0,44,4,0,45,3,0
49,50,0.012747266999536154,3.736435768433628e-14,11,45,4,0,45,4,0,46,3,0
50,51,0.012747267025557112,5.1956554206604466e-14,12,46,4,0,46,4,0,46,4,0
51,52,0.012747267025557112,5.1956554206604466e-14,12,47,4,0,47,4,0,47,4,0
52,53,0.012747267025557112,5.1956554206604466e-14,12,48,4,0,48,4,0,48,4,0
53,54,0.012747267025557112,5.1956554206604466e-14,12,49,4,0,49,4,0,49,4,0
54,55,0.012747267025557112,5.1956554206604466e-14,12,50,4,0,50,4,0,50,4,0
55,56,0.012747267025557112,5.1956554206604466e-14,12,51,4,0,51,4,0,51,4,0
56,57,0.012747267025557112,5.1956554206604466e-14,12,52,4,0,52,4,0,52,4,0
57,58,0.012747267025557112,5.1956554206604466e-14,12,53,4,0,53,4,0,53,4,0
58,59,0.012747267025557112,5.1956554206604466e-14,12,54,4,0,54,4,0,54,4,0
59,60,0.015906588119614637,0.03452270139083124,13,54,5,0,55,4,0,55,4,0
60,61,0.015064667582673254,0.038763432498878043,14,55,5,0,56,4,0,55,5,0
61,62,0.015064667582673254,0.038763432498878043,14,56,5,0,57,4,0,56,5,0
62,63,0.015064667582673254,0.038763432498878043,14,57,5,0,58,4,0,57,5,0
63,64,0.015240380390669462,0.035447458424650004,15,58,5,0,58,5,0,58,5,0
64,65,0.015240380390669462,0.035447458424650004,15,59,5,0,59,5,0,59,5,0
65,66,0.015240380390669462,0.035447458424650004,15,60,5,0,60,5,0,60,5,0
66,67,0.015240380390669462,0.035447458424650004,15,61,5,0,61,5,0,61,5,0
67,68,0.015240380390669462,0.035447458424650004,15,62,5,0,62,5,0,62,5,0
68,69,0.015240380390669462,0.035447458424650004,15,63,5,0,63,5,0,63,5,0
