,0
Unnamed: 0,49.5
trial_num,50.5
Run,20.0
Average Variance,0.009037312087310727
Average time to complete a task,11.225558278867101
Maximum visits to a cell,7.0
RMSE,0.010092167743259212
Step number,50.0
Total cells sampled,50.0
Total distance travelled,584.0
Total idle time,50.0
Total waiting time,0.0
width,20.0
height,20.0
num_robots,3.0
