,trial_num,Run,Average Variance,Average time to complete a task,Maximum visits to a cell,RMSE,Step number,Total cells sampled,Total distance travelled,Total idle time,Total waiting time,width,height,task_allocation,num_robots,results_dir
80,81,20,0.008920520572170115,10.50857843137255,6.0,0.01046719502781651,50,50,532,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
79,80,20,0.008459527665360823,11.748148148148148,5.0,0.010578090408839076,51,51,598,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
78,79,20,0.0007628239938530706,11.675245098039214,5.0,0.012292015575253404,50,50,595,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
77,77,20,0.013269543834281323,10.50462962962963,7.0,0.007367265415848858,50,50,538,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
75,76,20,0.00236848055531523,12.543981481481481,6.0,0.011771868389351932,50,50,634,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
50,55,20,0.008151057926835507,10.31111111111111,6.0,0.010474150138785849,50,50,520,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
49,50,20,0.014487008213371852,12.389542483660131,6.0,0.009647146639652729,50,50,625,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
48,48,20,0.010789474256999245,11.373819163292849,26.0,0.010029605454947894,51,51,625,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
21,21,20,0.010870808500472786,11.033115468409585,6.0,0.0101172368035807,50,50,553,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
20,22,20,0.015498434303590578,10.235119047619047,6.0,0.009389630855501844,50,50,505,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
19,19,20,0.00028728865971197544,9.766476034858387,6.0,0.012366750607133548,51,51,499,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
18,15,20,0.01883744591118091,10.9267107161844,42.0,0.008958724879564428,51,51,513,51,0,20,20,RR,3,./results/RRTA_3robs_20x20/
17,20,20,0.008052321661681289,10.153801169590643,6.0,0.01057903572297989,50,50,514,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
16,12,20,0.012768372943478976,11.568627450980392,8.0,0.009553732692928276,51,51,598,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
15,16,20,0.0012370881288055933,11.826754385964913,7.0,0.011986424948688248,51,51,606,51,0,20,20,RR,3,./results/RRTA_3robs_20x20/
14,13,20,0.01404039922807259,9.392592592592592,105.0,0.009513386372487357,50,50,694,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
13,18,20,0.004113236497614212,12.75,16.0,0.011473907865855115,50,50,640,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
12,17,20,0.02289818225791691,13.242701525054466,27.0,0.008320201654799917,50,50,664,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
11,11,20,0.007318619547583595,10.882142857142858,29.0,0.009300852683765942,50,50,604,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
10,14,20,0.018976485073899693,10.466374269005849,11.0,0.00890259912555163,50,50,538,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
9,4,20,0.0002550790825663169,10.788084795321637,7.0,0.012374886390416182,50,50,541,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
8,3,20,0.004609245787055511,12.592592592592593,7.0,0.011340833814044105,50,50,649,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
7,6,20,0.019914419018388054,11.066230936819172,6.0,0.008835112631345884,50,50,571,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
6,10,20,0.020374847604938608,10.605446623093682,6.0,0.008539875721798922,50,50,547,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
5,5,20,0.01365474677989904,11.460087719298246,20.0,0.008539654026348124,50,50,583,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
4,7,20,0.007963482244695145,10.888235294117647,6.0,0.010584063922815426,50,50,550,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
3,8,20,0.0049815112063882295,10.9041394335512,5.0,0.011195647691440706,50,50,556,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
2,9,20,0.007834753844619978,11.61830065359477,11.0,0.010575106145193705,50,50,592,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
1,2,20,0.011041050277414189,11.065141612200435,6.0,0.0095529823813763,50,50,568,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
22,23,20,0.0002728404597857574,11.587799564270151,7.0,0.00767797881459448,50,50,592,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
23,25,20,0.016712017525290255,10.92824074074074,7.0,0.007845720520211081,50,50,556,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
24,24,20,0.016569047805718995,13.134674922600619,40.0,0.009240925921418517,50,50,652,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
25,28,20,0.001548209559561934,12.946638655462186,33.0,0.00380995754577993,51,51,646,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
47,46,20,0.002559039814525287,12.547930283224401,7.0,0.0020995579496525915,52,52,652,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
46,49,20,0.02034931115311859,10.8390522875817,6.0,0.008534689549971296,51,51,562,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
45,47,20,0.00016614223078580836,11.899454518649565,6.0,0.0044624057530953075,50,50,601,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
44,41,20,0.001597629772929946,11.088562091503269,6.0,0.011953617426442424,52,52,574,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
43,45,20,0.02280884505364031,11.192401960784315,6.0,0.00837995869518051,50,50,565,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
42,42,20,0.007026327220220949,11.730528322440088,7.0,0.010453213424790506,51,51,601,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
41,44,20,0.013304560110134757,8.851851851851851,5.0,0.009541006642531071,50,50,448,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
40,43,20,0.011116456980632145,12.326388888888888,7.0,0.010116260886613033,50,50,631,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
39,40,20,0.002148396191659001,9.622334455667788,136.0,0.011736967201138912,51,51,853,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
38,39,20,0.02738953110161267,10.398965141612202,5.0,0.0074835308219960385,51,51,531,51,0,20,20,RR,3,./results/RRTA_3robs_20x20/
98,99,20,0.0006976978685060067,10.057080610021787,7.0,0.012250599953202341,50,50,520,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
37,36,20,0.0016568025527321192,11.228894335511981,8.0,0.01198079767394674,51,51,574,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
35,38,20,0.007280961199272979,9.74516683866529,5.0,0.010579359441238303,51,51,496,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
34,35,20,0.0032943191811197025,11.941798941798941,8.0,0.011480606443472543,50,50,607,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
33,32,20,0.007102122539426459,10.63008971704624,6.0,0.010441946755995907,51,51,528,51,0,20,20,RR,3,./results/RRTA_3robs_20x20/
32,34,20,0.013119251382299133,9.089460784313726,8.0,0.009545022672066292,50,50,457,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
31,33,20,0.0018284661653132973,13.192616959064326,7.0,0.011892618174515724,50,50,661,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
30,31,20,0.022086195781352572,9.983333333333334,7.0,0.00854887470259831,50,50,511,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
29,30,20,0.007327553543704481,11.390737874097008,6.0,0.010676705214450527,52,52,601,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
28,29,20,0.0046904382947256995,12.156862745098039,9.0,0.011341884445936255,51,51,628,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
27,26,20,0.015718652468967337,11.077777777777778,6.0,0.009083862110500406,51,51,567,51,0,20,20,RR,3,./results/RRTA_3robs_20x20/
26,27,20,0.013299647527721916,12.975317080580238,38.0,0.008832494636776057,51,51,610,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
36,37,20,0.008218180309636794,11.275119617224881,40.0,0.009977934801508692,50,50,640,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
99,100,20,0.013875040276836876,9.039351851851853,5.0,0.007588624569204389,50,50,466,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
